Time,A,B,C,D,E,F,G,H,I
Jul-18,0.009547226,0.00934159,0.009362555,0.009449694,0.009392459,0.009360999,0.009226207,0.009471372,0.009467605
Aug-18,0.009571798,0.009343246,0.009355343,0.009453309,0.00940052,0.009359881,0.009239925,0.009476535,0.009496651
Sep-18,0.009604834,0.009344235,0.00934468,0.009460328,0.0094191,0.009351654,0.009234975,0.009487685,0.009512739
Oct-18,0.009623503,0.009347744,0.00934159,0.009471193,0.009439261,0.009353411,0.009204696,0.009489641,0.009528505
Nov-18,0.009651216,0.009351042,0.0093508,0.009483497,0.009465718,0.0093642,0.009153572,0.009483228,0.009544235
Dec-18,0.009664886,0.009353294,0.009366224,0.009495042,0.009496811,0.009381081,0.009107745,0.009483418,0.009543953
Jan-19,0.009627066,0.009352217,0.009382341,0.009508193,0.009526092,0.009401363,0.009071824,0.009491497,0.009531207
Feb-19,0.009581918,0.009351266,0.009399451,0.009521202,0.009539422,0.009395974,0.009047287,0.009494873,0.009512717
Mar-19,0.00954852,0.009351275,0.009412797,0.009534597,0.009540455,0.009374339,0.009046904,0.00950464,0.009500391
Apr-19,0.009526838,0.009357082,0.009424179,0.009546599,0.009524432,0.00935855,0.009049019,0.009506523,0.00949965
May-19,0.009500665,0.009369973,0.009436456,0.009565098,0.009500587,0.009349888,0.009055927,0.009508238,0.009518931
Jun-19,0.009478795,0.009387568,0.009447398,0.009590034,0.009492216,0.009359133,0.009055041,0.009514776,0.009541842
Jul-19,0.009459584,0.009402137,0.009447893,0.009614575,0.009487965,0.009382058,0.009070056,0.009526687,0.009563372
Aug-19,0.009450051,0.009411343,0.009458483,0.009637075,0.009507361,0.0094115,0.009085403,0.009533476,0.009571496
Sep-19,0.009440901,0.009411373,0.009462918,0.009653714,0.009511799,0.0094115,0.009076911,0.009547662,0.009548517
Oct-19,0.009440842,0.009410557,0.009460874,0.009644521,0.009501579,0.009391314,0.009058228,0.009563509,0.009514867
Nov-19,0.009452715,0.009400794,0.009455667,0.009614591,0.009470269,0.009364706,0.009036889,0.009565726,0.009484753
Dec-19,0.009484664,0.009400216,0.009440427,0.00959429,0.009435479,0.009342268,0.009026758,0.00957154,0.00947554
Jan-20,0.009510434,0.009409664,0.009448111,0.009608613,0.009423116,0.009342423,0.009060303,0.009582218,0.009505214
Feb-20,0.009556602,0.009447705,0.009506443,0.009684374,0.0094589,0.009384685,0.009138721,0.009600407,0.009609062
Mar-20,0.009650266,0.009528509,0.009601823,0.009825864,0.009567237,0.009484634,0.009202436,0.009642874,0.009757481
Apr-20,0.009739998,0.009608943,0.009648682,0.009957014,0.009727781,0.009595667,0.009284573,0.009687103,0.009849922
May-20,0.009728287,0.009618677,0.009634467,0.009982228,0.00980839,0.009647647,0.009344525,0.009674379,0.009845689
Jun-20,0.00965966,0.009577811,0.009568761,0.009936462,0.00979349,0.009652853,0.009368814,0.009655866,0.009798397
Jul-20,0.009609015,0.009536414,0.009528005,0.009879498,0.00974095,0.009651044,0.009332329,0.009662968,0.009752158
Aug-20,0.00959224,0.00950716,0.009505645,0.009831368,0.009718876,0.009629987,0.009278698,0.00965516,0.009721878
Sep-20,0.009602151,0.009501517,0.009503282,0.009790812,0.009737631,0.00959756,0.009206344,0.009584255,0.00970399
Oct-20,0.009639745,0.009518548,0.009531543,0.00977464,0.009773435,0.009582195,0.009147248,0.009496461,0.009647903
Nov-20,0.009669517,0.009540865,0.009548108,0.009781129,0.009783802,0.009586643,0.009108649,0.009435992,0.009604526
Dec-20,0.00965253,0.009556107,0.009517299,0.009797591,0.009740114,0.009586326,0.009095557,0.009407425,0.009599026
Jan-21,0.009644014,0.009565949,0.009480159,0.009793521,0.009678187,0.009585698,0.009078517,0.009404157,0.009580668
Feb-21,0.009620437,0.009549414,0.009442404,0.009748821,0.009567707,0.009571311,0.009065149,0.009392107,0.009549414
Mar-21,0.009560343,0.009517904,0.009401363,0.009702205,0.009436131,0.00953375,0.009095281,0.009368658,0.009509697
Apr-21,0.009490319,0.009484404,0.009341909,0.009679612,0.009334921,0.009508853,0.009125566,0.009352081,0.009469543
May-21,0.00940558,0.00943094,0.00926696,0.00966582,0.009259021,0.009514825,0.00914629,0.009371279,0.009433416
Jun-21,0.009344816,0.009384334,0.009211152,0.00964498,0.00922528,0.009536233,0.009173463,0.009404991,0.009416818
Jul-21,0.009347026,0.009370684,0.009194995,0.009631441,0.00923058,0.009584308,0.00921907,0.009428791,0.009436456
Aug-21,0.00937391,0.009371873,0.009206655,0.009624101,0.009280085,0.009643388,0.009231555,0.009448526,0.009450259
Sep-21,0.009388184,0.0093716,0.009215709,0.009614364,0.009363363,0.009674683,0.009207842,0.009454359,0.009443827
Oct-21,0.009418559,0.009389847,0.009226283,0.009604928,0.009433446,0.009694329,0.009191059,0.009457501,0.009427342
Nov-21,0.009450635,0.009420901,0.009253148,0.009605113,0.009466304,0.009711478,0.009176711,0.009461727,0.009422594
Dec-21,0.009489022,0.009448843,0.009296027,0.009620356,0.009514585,0.009722215,0.009161332,0.009471581,0.009434966
Jan-22,0.009536607,0.009471571,0.009376494,0.009655008,0.009618633,0.009747189,0.00917864,0.009488124,0.009445004
Feb-22,0.009614796,0.009521416,0.009487536,0.009696933,0.009777502,0.009780053,0.009307527,0.009510467,0.00945218
Mar-22,0.009736251,0.00960636,0.009625638,0.009734233,0.009945204,0.009805615,0.009611047,0.009541951,0.009456074
Apr-22,0.009801446,0.009677395,0.009698016,0.009750886,0.010090689,0.009823702,0.010034846,0.00957928,0.00946847
May-22,0.009829767,0.009721213,0.009734941,0.00976003,0.010177651,0.009868251,0.010282572,0.009626989,0.009508264
Jun-22,0.009849576,0.009763624,0.009770585,0.009781695,0.010223905,0.009913478,0.010357039,0.009671471,0.009580393
Jul-22,0.009853728,0.009814026,0.009804234,0.009801047,0.010260797,0.009916963,0.010368716,0.009702941,0.009652923
Aug-22,0.009847841,0.009854484,0.0098112,0.009805487,0.010323194,0.009886455,0.01036685,0.009718399,0.009676815
Sep-22,0.009861055,0.009898154,0.009822419,0.009821913,0.010388923,0.009856672,0.010360086,0.009714112,0.009675398
Oct-22,0.009865297,0.009926079,0.009832623,0.009844005,0.010420066,0.009830668,NA,0.009705967,0.009678099
